station_id,hour_bucket,session_count,total_kwh,total_revenue_inr,avg_duration_hours,hour,day_of_week,is_weekend
2-39-123-23,2018-04-25 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-04-26 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-04-26 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-04-27 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-04-28 15:00:00,1,0.0,0.0,0.0,15,5,1
2-39-123-23,2018-04-29 00:00:00,1,0.0,0.0,0.0,0,6,1
2-39-123-23,2018-04-29 18:00:00,1,0.0,0.0,0.0,18,6,1
2-39-123-23,2018-04-29 21:00:00,1,0.0,0.0,0.0,21,6,1
2-39-123-23,2018-04-30 17:00:00,1,0.0,0.0,0.0,17,0,0
2-39-123-23,2018-05-01 17:00:00,1,0.0,0.0,0.0,17,1,0
2-39-123-23,2018-05-01 20:00:00,1,0.0,0.0,0.0,20,1,0
2-39-123-23,2018-05-02 13:00:00,1,0.0,0.0,0.0,13,2,0
2-39-123-23,2018-05-02 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-05-02 18:00:00,1,0.0,0.0,0.0,18,2,0
2-39-123-23,2018-05-03 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-05-04 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-05-04 19:00:00,1,0.0,0.0,0.0,19,4,0
2-39-123-23,2018-05-05 15:00:00,1,0.0,0.0,0.0,15,5,1
2-39-123-23,2018-05-05 20:00:00,1,0.0,0.0,0.0,20,5,1
2-39-123-23,2018-05-07 13:00:00,1,0.0,0.0,0.0,13,0,0
2-39-123-23,2018-05-07 15:00:00,1,0.0,0.0,0.0,15,0,0
2-39-123-23,2018-05-08 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-05-09 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-05-10 02:00:00,1,0.0,0.0,0.0,2,3,0
2-39-123-23,2018-05-10 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-05-11 13:00:00,1,0.0,0.0,0.0,13,4,0
2-39-123-23,2018-05-11 17:00:00,1,0.0,0.0,0.0,17,4,0
2-39-123-23,2018-05-12 01:00:00,1,0.0,0.0,0.0,1,5,1
2-39-123-23,2018-05-12 22:00:00,1,0.0,0.0,0.0,22,5,1
2-39-123-23,2018-05-14 01:00:00,1,0.0,0.0,0.0,1,0,0
2-39-123-23,2018-05-14 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-05-15 02:00:00,1,0.0,0.0,0.0,2,1,0
2-39-123-23,2018-05-15 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-05-15 19:00:00,1,0.0,0.0,0.0,19,1,0
2-39-123-23,2018-05-16 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-05-16 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-05-17 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-05-18 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-05-19 14:00:00,1,0.0,0.0,0.0,14,5,1
2-39-123-23,2018-05-20 01:00:00,1,0.0,0.0,0.0,1,6,1
2-39-123-23,2018-05-20 18:00:00,1,0.0,0.0,0.0,18,6,1
2-39-123-23,2018-05-21 17:00:00,1,0.0,0.0,0.0,17,0,0
2-39-123-23,2018-05-22 16:00:00,1,0.0,0.0,0.0,16,1,0
2-39-123-23,2018-05-23 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-05-24 16:00:00,1,0.0,0.0,0.0,16,3,0
2-39-123-23,2018-05-25 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-05-25 16:00:00,1,0.0,0.0,0.0,16,4,0
2-39-123-23,2018-05-26 05:00:00,1,0.0,0.0,0.0,5,5,1
2-39-123-23,2018-05-26 23:00:00,1,0.0,0.0,0.0,23,5,1
2-39-123-23,2018-05-27 19:00:00,1,0.0,0.0,0.0,19,6,1
2-39-123-23,2018-05-28 18:00:00,1,0.0,0.0,0.0,18,0,0
2-39-123-23,2018-05-29 05:00:00,1,0.0,0.0,0.0,5,1,0
2-39-123-23,2018-05-29 15:00:00,1,0.0,0.0,0.0,15,1,0
2-39-123-23,2018-05-29 18:00:00,1,0.0,0.0,0.0,18,1,0
2-39-123-23,2018-05-30 15:00:00,1,0.0,0.0,0.0,15,2,0
2-39-123-23,2018-05-31 03:00:00,1,0.0,0.0,0.0,3,3,0
2-39-123-23,2018-05-31 15:00:00,1,0.0,0.0,0.0,15,3,0
2-39-123-23,2018-06-01 00:00:00,1,0.0,0.0,0.0,0,4,0
2-39-123-23,2018-06-01 14:00:00,1,0.0,0.0,0.0,14,4,0
2-39-123-23,2018-06-01 22:00:00,1,0.0,0.0,0.0,22,4,0
2-39-123-23,2018-06-02 18:00:00,1,0.0,0.0,0.0,18,5,1
2-39-123-23,2018-06-02 20:00:00,1,0.0,0.0,0.0,20,5,1
2-39-123-23,2018-06-03 05:00:00,1,0.0,0.0,0.0,5,6,1
2-39-123-23,2018-06-03 07:00:00,1,0.0,0.0,0.0,7,6,1
2-39-123-23,2018-06-03 14:00:00,1,0.0,0.0,0.0,14,6,1
2-39-123-23,2018-06-04 00:00:00,1,0.0,0.0,0.0,0,0,0
2-39-123-23,2018-06-04 16:00:00,1,0.0,0.0,0.0,16,0,0
2-39-123-23,2018-06-06 01:00:00,1,0.0,0.0,0.0,1,2,0
2-39-123-23,2018-06-06 02:00:00,1,0.0,0.0,0.0,2,2,0
2-39-123-23,2018-06-06 16:00:00,1,0.0,0.0,0.0,16,2,0
2-39-123-23,2018-06-07 01:00:00,1,0.0,0.0,0.0,1,3,0
2-39-123-23,2018-06-07 03:00:00,1,0.0,0.0,0.0,3,3,0
2-39-123-23,2018-06-07 17:00:00,1,0.0,0.0,0.0,17,3,0
2-39-123-23,2018-06-08 03:00:00,1,0.0,0.0,0.0,3,4,0
2-39-123-23,2018-06-08 13:00:00,1,0.0,0.0,0.0,13,4,0
2-39-123-23,2018-06-08 15:00:00,1,0.0,0.0,0.0,15,4,0
2-39-123-23,2018-06-09 01:00:00,1,0.0,0.0,0.0,1,5,1
